"행정구역","2019년02월_계_총인구수","2019년02월_계_연령구간인구수","2019년02월_계_0세","2019년02월_계_1세","2019년02월_계_2세","2019년02월_계_3세","2019년02월_계_4세","2019년02월_계_5세","2019년02월_계_6세","2019년02월_계_7세","2019년02월_계_8세","2019년02월_계_9세","2019년02월_계_10세","2019년02월_계_11세","2019년02월_계_12세","2019년02월_계_13세","2019년02월_계_14세","2019년02월_계_15세","2019년02월_계_16세","2019년02월_계_17세","2019년02월_계_18세","2019년02월_계_19세","2019년02월_계_20세","2019년02월_계_21세","2019년02월_계_22세","2019년02월_계_23세","2019년02월_계_24세","2019년02월_계_25세","2019년02월_계_26세","2019년02월_계_27세","2019년02월_계_28세","2019년02월_계_29세","2019년02월_계_30세","2019년02월_계_31세","2019년02월_계_32세","2019년02월_계_33세","2019년02월_계_34세","2019년02월_계_35세","2019년02월_계_36세","2019년02월_계_37세","2019년02월_계_38세","2019년02월_계_39세","2019년02월_계_40세","2019년02월_계_41세","2019년02월_계_42세","2019년02월_계_43세","2019년02월_계_44세","2019년02월_계_45세","2019년02월_계_46세","2019년02월_계_47세","2019년02월_계_48세","2019년02월_계_49세","2019년02월_계_50세","2019년02월_계_51세","2019년02월_계_52세","2019년02월_계_53세","2019년02월_계_54세","2019년02월_계_55세","2019년02월_계_56세","2019년02월_계_57세","2019년02월_계_58세","2019년02월_계_59세","2019년02월_계_60세","2019년02월_계_61세","2019년02월_계_62세","2019년02월_계_63세","2019년02월_계_64세","2019년02월_계_65세","2019년02월_계_66세","2019년02월_계_67세","2019년02월_계_68세","2019년02월_계_69세","2019년02월_계_70세","2019년02월_계_71세","2019년02월_계_72세","2019년02월_계_73세","2019년02월_계_74세","2019년02월_계_75세","2019년02월_계_76세","2019년02월_계_77세","2019년02월_계_78세","2019년02월_계_79세","2019년02월_계_80세","2019년02월_계_81세","2019년02월_계_82세","2019년02월_계_83세","2019년02월_계_84세","2019년02월_계_85세","2019년02월_계_86세","2019년02월_계_87세","2019년02월_계_88세","2019년02월_계_89세","2019년02월_계_90세","2019년02월_계_91세","2019년02월_계_92세","2019년02월_계_93세","2019년02월_계_94세","2019년02월_계_95세","2019년02월_계_96세","2019년02월_계_97세","2019년02월_계_98세","2019년02월_계_99세","2019년02월_계_100세 이상"
"전국  (0000000000)","51,829,538","51,829,538","311,415","356,047","403,065","439,617","439,816","438,231","485,989","475,085","479,993","446,948","464,795","498,533","455,024","437,602","465,467","491,722","490,273","544,436","628,750","624,344","633,598","666,771","678,688","702,925","709,053","707,033","722,143","702,326","639,257","635,107","626,897","618,409","624,991","646,315","651,556","736,834","812,418","844,698","833,743","834,502","746,055","773,515","759,770","786,950","850,920","894,428","895,151","932,079","932,998","913,110","933,257","854,405","837,725","842,113","842,257","772,401","861,471","903,001","934,379","863,883","779,887","760,140","702,733","699,608","642,576","523,824","565,385","444,430","438,025","447,507","440,380","435,459","393,564","299,857","330,395","312,941","396,808","339,444","282,496","283,196","255,715","228,490","209,818","188,516","165,902","135,277","117,433","95,218","77,863","68,033","54,921","43,500","31,433","23,391","17,086","14,956","12,520","8,035","5,460","3,861","19,171"
"서울특별시  (1100000000)","9,770,638","9,770,638","53,738","59,599","65,815","70,726","70,037","69,000","76,377","73,745","75,639","70,189","74,217","80,273","74,774","71,529","78,329","82,561","82,083","90,416","107,254","109,552","114,315","122,473","129,497","141,673","150,625","156,258","165,662","165,771","152,776","151,006","150,177","144,503","144,300","145,260","142,644","157,624","164,934","168,159","162,843","162,014","141,538","145,260","144,326","146,145","158,029","165,333","168,391","176,426","175,457","169,300","167,962","154,449","147,478","149,781","151,916","141,921","152,687","159,184","167,176","157,349","145,519","142,867","132,352","135,608","123,861","103,339","110,202","83,062","85,623","88,133","85,983","86,008","79,560","60,652","63,418","59,401","72,043","60,979","49,561","47,432","42,445","37,293","33,253","29,705","25,250","20,503","17,751","14,506","12,100","10,729","8,923","7,199","5,374","3,972","2,927","2,813","2,260","1,565","1,180","880","5,932"
"부산광역시  (2600000000)","3,436,230","3,436,230","17,883","20,986","23,913","26,448","26,049","25,830","28,371","27,650","27,532","25,158","25,927","27,866","25,181","24,607","26,476","28,439","28,450","32,124","37,359","37,731","39,047","42,222","44,759","46,819","47,574","47,180","47,485","45,532","40,652","40,796","39,175","37,954","38,068","39,032","39,878","45,518","50,015","53,659","53,727","53,604","46,949","47,547","45,541","48,359","52,405","55,301","55,746","57,475","58,746","57,827","59,665","56,336","54,303","55,340","55,035","52,226","61,208","65,263","68,995","64,169","59,783","59,496","56,706","57,610","52,662","43,833","46,625","39,705","36,735","37,559","37,445","35,373","31,108","22,701","26,878","24,951","29,906","24,906","21,413","20,318","17,687","15,466","13,944","12,274","10,596","8,462","7,409","6,012","4,644","4,208","3,460","2,799","1,844","1,387","1,029","821","676","456","301","233","1,697"
"대구광역시  (2700000000)","2,458,138","2,458,138","13,614","16,044","18,357","19,961","19,994","19,797","22,194","21,666","21,888","20,175","21,236","23,091","21,169","21,137","22,220","24,404","23,953","27,306","31,847","31,153","31,247","34,059","34,452","35,437","34,710","34,139","34,232","32,394","29,090","29,084","27,299","26,860","26,804","27,723","27,592","31,716","35,560","37,237","37,281","37,631","33,387","35,210","35,699","37,123","40,338","42,511","43,358","44,776","45,096","45,200","46,402","44,138","41,745","42,165","42,085","38,412","43,548","44,895","45,275","43,231","36,577","36,470","34,919","33,517","30,308","26,361","28,753","23,847","21,554","22,447","22,628","21,040","17,085","12,705","15,486","15,698","18,992","15,660","13,321","13,319","11,581","10,324","9,427","8,481","7,465","5,945","5,236","4,175","3,180","2,586","2,160","1,662","1,231","876","647","493","387","283","192","131","642"
"인천광역시  (2800000000)","2,956,063","2,956,063","18,743","20,473","23,396","25,642","25,906","25,620","28,111","27,868","27,811","26,157","26,934","28,897","26,194","25,148","26,388","28,167","27,511","31,078","35,360","35,255","35,655","38,246","39,445","41,598","43,005","43,628","44,631","43,834","39,547","38,592","37,774","36,521","37,018","38,398","38,686","43,845","48,474","50,911","49,654","49,975","44,482","45,646","44,176","45,957","49,660","51,761","52,198","53,921","54,108","52,851","54,527","49,938","49,524","50,715","51,817","47,388","52,455","54,346","54,881","50,226","45,495","43,168","38,473","38,057","33,880","27,170","28,887","20,769","21,258","21,995","21,508","21,402","19,856","14,727","15,232","14,747","17,980","15,254","12,510","12,444","11,453","10,026","9,336","8,502","7,312","6,125","5,286","4,300","3,678","3,189","2,673","2,044","1,578","1,129","948","675","606","403","271","199","845"
"광주광역시  (2900000000)","1,459,208","1,459,208","8,639","10,199","11,944","13,022","13,327","13,443","15,190","14,847","15,204","14,221","14,867","16,184","14,871","14,341","15,280","16,691","16,574","18,795","21,593","21,315","21,501","22,503","22,454","22,441","21,664","21,046","20,756","19,233","17,362","16,762","16,383","16,195","16,467","17,304","17,717","20,667","23,429","23,897","23,143","24,001","21,682","22,568","23,005","22,616","25,528","25,944","26,309","26,972","26,698","25,371","26,664","24,288","23,911","23,576","22,122","21,558","21,986","22,092","24,121","22,116","19,487","18,887","16,397","16,459","15,057","12,116","13,097","11,511","11,396","11,886","11,029","11,135","10,372","7,923","8,205","7,062","10,184","8,316","6,753","6,571","5,961","5,430","4,584","4,273","3,868","3,083","2,618","2,119","1,810","1,729","1,277","950","749","546","350","348","282","197","122","94","376"
"대전광역시  (3000000000)","1,487,605","1,487,605","8,872","10,574","12,105","13,181","12,993","13,206","14,332","14,334","14,090","13,472","14,126","15,387","14,015","13,544","14,673","15,594","15,474","17,111","19,799","19,554","20,283","21,444","22,064","22,880","22,417","21,951","22,439","21,097","19,685","19,041","18,519","18,341","18,393","18,754","18,782","20,584","23,164","23,920","23,510","23,209","21,717","22,393","22,268","22,990","24,930","26,757","26,198","27,360","27,162","27,107","28,008","24,529","23,668","23,215","23,962","20,569","23,938","25,668","26,388","23,964","20,697","20,881","19,429","19,057","17,739","13,580","14,317","11,713","11,466","11,565","11,287","10,391","9,634","7,405","8,093","7,693","9,682","8,259","6,229","6,664","6,120","5,475","4,921","4,412","3,919","3,299","2,810","2,330","1,834","1,573","1,323","1,100","719","571","376","366","264","189","122","70","327"
"울산광역시  (3100000000)","1,153,735","1,153,735","7,763","9,026","10,461","11,236","11,357","11,139","12,234","11,692","11,737","10,936","11,298","11,970","10,731","10,308","10,722","11,546","11,128","13,083","15,000","14,627","14,871","15,676","15,851","15,922","15,674","15,493","15,418","15,193","13,773","14,089","13,771","13,383","13,812","14,397","14,554","17,055","18,922","19,740","19,795","19,664","17,186","18,113","16,880","17,628","19,056","20,019","20,178","21,469","21,625","21,658","22,754","21,457","21,181","21,700","20,927","18,614","21,029","21,642","22,107","19,808","17,787","16,842","15,568","14,878","13,262","11,128","11,266","9,106","8,447","8,082","8,078","7,404","6,081","4,347","5,289","4,855","5,981","4,573","3,915","3,932","3,382","2,968","2,711","2,367","2,184","1,785","1,528","1,244","945","846","729","536","396","310","229","194","147","75","65","39","156"
"세종특별자치시  (3600000000)","320,326","320,326","3,610","4,002","4,407","4,712","4,576","4,520","5,085","4,873","4,917","4,555","4,660","4,599","4,217","3,782","3,733","3,624","3,284","3,179","3,288","3,224","3,174","3,062","3,138","3,284","3,402","3,309","3,677","3,739","3,637","3,965","4,259","4,466","4,907","5,035","5,404","6,207","7,082","7,355","7,095","7,307","6,344","6,496","6,255","6,230","6,345","6,349","5,752","5,926","5,335","4,853","4,841","4,122","3,994","3,730","3,932","3,266","3,865","3,957","3,950","3,639","3,221","3,202","2,910","3,039","2,792","2,065","2,205","1,755","1,770","1,833","1,631","1,487","1,432","1,073","1,158","1,094","1,461","1,261","1,020","1,059","988","861","833","743","716","594","527","413","355","315","241","192","148","109","78","52","43","47","9","8","54"
"경기도  (4100000000)","13,104,696","13,104,696","86,220","99,310","113,744","124,522","125,023","123,464","137,807","133,613","135,531","126,059","130,776","139,363","127,034","119,974","127,016","132,962","131,172","143,782","165,338","162,091","162,834","169,794","170,559","177,803","181,066","181,916","187,250","183,951","165,303","165,015","163,865","163,147","164,448","172,168","174,260","197,506","219,907","230,629","229,175","228,972","204,895","212,782","209,248","215,962","230,184","241,286","240,896","250,248","248,807","240,572","243,229","218,573","215,287","214,773","216,335","194,796","212,032","220,273","222,620","202,409","183,681","173,229","156,671","153,904","139,982","112,772","122,484","86,120","88,553","90,309","88,812","90,407","83,353","64,427","67,407","63,615","77,597","67,431","56,418","55,598","50,551","45,538","41,711","37,269","32,470","26,560","23,089","18,401","15,589","13,621","11,076","8,826","6,355","4,756","3,660","3,035","2,574","1,623","1,149","791","3,706"
