사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2019-05,1호선,0150,서울역,"1,148",21,"11,958","10,579","15,684","61,286","44,585","115,354","89,357","238,583","68,146","171,350","73,525","94,790","92,022","85,227","101,383","89,704","102,975","93,903","87,681","89,304","115,315","91,208","123,612","95,981","167,329","105,879","253,795","113,369","144,348","84,947","103,166","63,630","101,273","54,836","77,000","41,500","37,939","22,083","4,127","7,762",3,548,0,0,0,0,2019-06-03 10:56:25
2019-05,1호선,0151,시청,89,5,"2,843","4,674","4,169","24,963","8,926","74,288","11,999","207,024","15,592","93,843","18,130","55,118","25,026","50,100","28,006","45,701","34,962","53,307","44,014","45,689","57,242","36,188","63,977","30,667","84,422","32,893","166,587","32,791","75,363","18,455","61,755","10,402","62,698","9,234","40,422","7,566","14,946","4,767",931,"1,426",1,25,0,0,0,0,2019-06-03 10:56:25
2019-05,1호선,0152,종각,116,3,"4,576","5,233","4,780","33,366","7,695","108,663","12,735","295,205","16,786","165,873","22,190","82,104","34,804","74,782","43,282","68,767","59,065","71,259","68,978","61,492","85,563","53,564","94,510","53,016","142,421","61,870","247,365","79,553","127,487","49,695","113,375","21,805","136,748","13,439","106,476","9,149","48,067","5,882","3,973","1,565",1,1,0,0,0,0,2019-06-03 10:56:25
2019-05,1호선,0153,종로3가,216,16,"5,505","3,036","4,790","16,235","7,163","33,766","12,372","88,664","17,597","101,464","29,264","87,440","43,282","93,837","57,116","92,504","72,757","92,580","81,358","82,731","90,771","68,819","99,235","59,148","104,670","57,708","128,697","63,495","96,295","40,160","75,192","17,406","82,094","12,441","66,614","9,517","29,318","6,715","3,375","2,753",1,37,0,1,0,0,2019-06-03 10:56:25
2019-05,1호선,0154,종로5가,51,3,"2,245","4,205","3,415","19,150","6,140","46,654","10,238","132,023","15,872","82,787","25,849","69,513","39,106","73,872","49,898","70,185","64,227","65,891","71,314","61,424","75,453","53,202","76,603","48,341","89,000","44,294","127,195","42,015","72,829","27,388","51,429","13,344","43,705","8,823","32,254","5,928","11,544","3,661",810,"1,200",0,6,0,0,0,0,2019-06-03 10:56:25
2019-05,1호선,0155,동대문,776,12,"17,333","2,452","12,614","9,043","19,979","17,282","26,926","33,995","25,431","33,416","23,361","36,888","26,168","41,333","30,809","40,599","34,606","40,056","36,019","37,750","36,250","35,548","34,975","32,769","35,787","32,860","35,427","32,845","25,533","33,797","21,431","25,219","19,460","19,798","16,831","18,679","9,553","14,421","1,199","5,052",1,68,0,0,0,0,2019-06-03 10:56:25
2019-05,1호선,0156,신설동,315,38,"11,021","2,103","11,002","9,714","22,990","30,373","32,986","78,975","25,012","44,845","22,814","28,251","25,369","24,755","26,835","23,885","29,867","24,367","28,217","23,497","31,799","24,889","34,959","25,145","45,564","30,278","73,275","34,085","33,385","26,876","21,851","18,352","19,528","17,866","14,189","17,857","6,614","13,402",681,"3,383",0,39,0,0,0,0,2019-06-03 10:56:25
2019-05,1호선,0157,제기동,360,6,"5,600","2,439","10,512","10,759","26,059","22,594","37,545","50,517","28,834","49,387","31,672","48,103","39,418","56,340","45,851","60,016","51,070","65,647","55,520","57,876","62,666","50,639","64,121","40,776","57,066","35,652","55,271","33,751","30,207","25,151","19,774","15,182","14,631","13,344","9,809","12,590","4,686","9,194",393,"2,120",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,1호선,0158,청량리(서울시립대입구),"1,430",9,"13,965","3,611","19,600","13,875","50,958","22,529","67,407","47,066","46,806","47,716","39,539","46,060","44,581","52,917","50,418","56,986","52,748","64,183","54,598","63,128","61,550","60,247","67,780","56,981","64,708","59,453","59,871","70,604","38,601","53,696","31,153","33,104","24,713","30,184","17,288","31,295","8,555","20,670",547,"6,585",0,2,0,1,0,0,2019-06-03 10:56:25
2019-05,1호선,0159,동묘앞,136,11,"3,712",876,"3,992","4,354","7,349","13,980","10,925","33,547","10,783","21,482","12,426","25,303","18,967","34,419","25,923","38,729","33,022","43,887","38,551","41,213","42,175","35,667","44,238","28,039","40,527","22,188","36,633","15,203","19,966","10,235","10,184","6,913","7,455","6,990","5,331","7,342","2,725","5,014",304,"3,516",5,298,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0201,시청,109,2,"1,455","1,763","2,686","18,049","6,298","70,766","10,032","243,691","14,193","94,153","20,182","37,211","28,364","35,083","29,319","33,348","36,080","40,167","42,996","35,616","48,932","31,154","55,455","27,307","87,764","28,128","197,585","29,409","75,691","17,101","52,909","9,589","49,349","9,280","33,074","9,187","13,414","6,257","1,795","1,960",1,85,1,1,0,0,2019-06-03 10:56:25
2019-05,2호선,0202,을지로입구,131,3,"3,186","3,296","4,043","31,290","9,838","134,445","18,305","353,816","26,038","169,109","34,703","97,189","44,726","103,109","52,654","79,651","67,447","83,436","78,541","73,456","94,040","70,968","106,501","70,337","154,350","73,781","313,807","83,867","160,398","51,434","147,614","31,507","126,560","24,982","91,483","20,930","42,517","13,655","4,724","4,329",3,"1,247",0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0203,을지로3가,23,1,"1,223","2,116","2,767","20,647","6,487","69,568","12,350","166,400","16,179","86,952","20,848","42,979","25,107","33,896","25,744","29,996","31,181","33,332","35,448","29,663","40,611","28,310","47,607","29,909","73,321","33,731","145,052","41,235","70,698","28,497","48,985","15,393","51,702","12,095","43,231","10,144","24,880","7,055","4,275","2,017",0,65,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0204,을지로4가,18,0,"1,114","1,021","1,786","11,771","3,741","26,361","6,958","69,905","11,328","42,668","14,013","27,642","16,552","27,350","20,223","25,930","22,510","23,612","25,586","22,728","29,360","21,576","31,531","19,137","43,787","18,031","67,751","16,027","38,538","10,787","19,563","6,635","15,243","6,012","10,862","5,793","5,377","4,010","1,104","1,222",0,14,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0205,동대문역사문화공원,448,0,"11,814","1,129","7,391","10,024","10,137","32,019","16,216","74,464","16,669","46,570","19,788","45,707","24,101","42,155","28,448","42,349","34,692","49,739","38,102","47,450","47,382","41,849","58,218","39,413","62,700","40,876","71,109","47,310","49,609","54,005","38,870","39,164","35,894","30,754","32,926","23,647","23,682","15,578","3,787","5,733",1,58,0,1,0,0,2019-06-03 10:56:25
2019-05,2호선,0206,신당,49,2,"7,590","1,574","13,305","9,856","31,404","19,968","50,124","45,297","32,413","29,126","23,500","21,637","22,432","22,269","25,030","23,033","26,553","25,326","25,919","25,559","26,525","28,160","30,551","30,752","34,722","37,207","42,667","49,122","28,763","38,698","21,107","25,108","18,751","23,439","14,148","23,461","7,729","15,525","1,290","5,716",6,17,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0207,상왕십리,19,0,"7,111",913,"15,081","6,434","43,643","12,980","71,818","43,335","38,682","22,536","25,171","15,274","23,290","14,367","23,190","15,681","23,287","18,617","20,921","18,913","21,537","21,587","22,626","25,249","26,997","32,542","35,022","51,304","23,641","39,381","15,125","26,549","14,310","26,470","10,581","26,165","4,597","17,319",750,"6,210",2,24,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0208,왕십리(성동구청),758,7,"8,697","1,302","13,624","7,832","33,675","15,098","60,437","35,044","38,130","25,402","26,780","18,979","26,267","19,924","30,012","22,144","32,235","24,052","31,557","24,371","32,897","26,614","41,602","31,412","48,640","40,988","54,456","66,697","37,412","51,219","35,050","31,774","39,253","28,749","39,435","29,838","26,914","21,626","5,139","9,290",3,71,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0209,한양대,7,0,"1,692",428,"2,910","7,299","6,655","17,976","10,374","78,905","8,668","77,921","9,744","61,923","13,087","23,762","20,189","38,088","20,496","29,088","26,483","24,637","31,858","17,515","49,094","15,220","60,994","18,792","46,500","26,006","24,910","14,275","22,593","8,360","28,041","8,332","19,453","7,727","10,364","5,370","2,407","2,073",3,18,1,1,0,0,2019-06-03 10:56:25
2019-05,2호선,0210,뚝섬,28,0,"5,132","2,210","10,629","16,812","26,296","33,829","37,286","134,197","24,268","66,527","19,940","31,824","21,336","27,124","23,863","29,483","26,920","32,006","28,931","30,947","32,879","32,093","39,154","32,911","52,827","37,061","114,133","49,205","60,483","35,699","35,477","20,217","33,755","18,077","22,768","17,935","9,571","11,905","1,421","4,321",7,83,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0211,성수,57,2,"6,207","4,158","12,120","31,850","29,717","70,810","38,224","273,702","30,809","105,565","25,940","42,988","27,279","36,614","30,580","36,160","35,997","40,993","39,219","39,258","43,344","39,894","51,835","41,154","87,412","45,179","203,353","55,365","91,793","41,517","51,989","24,500","49,540","21,594","37,593","19,714","16,733","13,956","2,361","8,735",5,"1,527",0,1,0,0,2019-06-03 10:56:25
2019-05,2호선,0212,건대입구,507,9,"24,831","2,341","29,389","18,969","67,035","29,939","117,132","81,737","78,438","60,312","50,476","60,901","46,789","62,532","57,004","75,062","64,769","82,880","66,542","82,155","73,940","87,959","82,369","102,124","98,614","139,223","115,390","210,279","93,560","167,959","95,074","99,116","111,636","90,621","117,638","80,325","78,429","50,105","14,316","18,625",6,"1,465",0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0213,구의(광진구청),55,3,"15,324","1,478","30,065","11,313","78,932","17,595","132,672","44,297","77,439","28,344","42,118","23,404","35,280","22,532","36,216","25,568","36,705","29,442","32,878","31,120","31,303","38,067","35,315","44,128","40,378","59,688","49,925","94,425","28,917","77,688","22,811","52,090","21,792","52,698","18,418","50,992","11,315","31,335","1,846","11,274",3,61,0,1,0,0,2019-06-03 10:56:25
2019-05,2호선,0214,강변(동서울터미널),37,1,"10,613","4,674","34,325","36,772","106,432","42,194","154,980","68,325","118,116","63,130","93,645","55,526","85,154","55,476","83,024","61,854","80,960","73,297","75,348","79,234","74,066","91,410","80,064","104,216","89,478","118,065","102,978","161,614","84,041","128,457","68,146","90,639","65,642","81,876","42,999","75,910","18,086","41,088","2,441","11,549",1,80,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0215,잠실나루,12,1,"3,593","1,862","14,272","11,408","48,591","25,593","62,198","45,842","37,586","33,192","30,105","24,879","28,954","22,675","30,279","26,644","27,757","27,640","28,004","27,233","30,620","26,889","35,313","26,928","40,552","32,338","40,845","48,886","22,724","41,153","19,455","26,130","18,048","25,099","9,834","24,635","4,263","15,123",657,"5,409",0,16,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0216,잠실(송파구청),107,2,"15,494","6,935","55,591","45,946","140,557","102,253","200,470","219,549","147,951","194,094","103,636","129,686","102,271","136,614","112,977","131,176","130,344","141,169","133,172","137,950","154,023","150,648","173,873","168,632","220,881","196,426","292,771","273,985","203,219","211,635","196,326","129,145","184,981","113,682","149,539","110,235","48,786","65,513","5,648","17,104",1,47,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0217,잠실새내,28,0,"6,689","1,178","20,507","8,721","70,659","19,232","96,339","31,955","59,855","35,717","40,452","28,612","38,354","30,956","39,959","36,110","39,746","40,595","35,572","43,795","36,584","48,290","42,634","56,230","44,921","72,880","51,953","105,073","40,215","85,044","36,917","52,356","44,789","45,696","40,100","43,262","25,070","24,442","4,505","9,271",1,28,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0218,종합운동장,19,1,"2,431","1,335","7,891","12,186","21,632","31,165","31,704","46,330","22,673","27,825","16,383","20,720","16,048","18,531","17,999","28,439","20,198","43,486","18,639","24,813","23,911","30,392","38,149","47,489","54,591","68,285","30,761","95,452","21,425","40,215","34,897","17,186","89,447","16,378","48,983","16,326","4,771","9,608",640,"3,328",4,129,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0219,삼성(무역센터),144,1,"5,594","6,266","9,977","45,881","22,241","140,840","29,270","372,585","29,739","285,440","30,682","141,592","45,198","121,766","61,014","109,827","82,235","123,630","99,590","107,420","127,157","94,764","149,466","87,663","216,007","85,891","347,348","93,793","220,649","60,193","161,798","29,418","140,416","23,140","103,950","21,025","29,678","11,034","4,472","5,776",1,"2,394",0,0,0,0,2019-06-03 10:56:25
